#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AIM2	CASP5	9606.ENSP00000357112	9606.ENSP00000376849	0	0	0	0	0.180	0	0.900	0.884	0.989
RASSF8	TEAD3	9606.ENSP00000384491	9606.ENSP00000345772	0	0	0	0	0.059	0.165	0	0.346	0.441
RBL1	TFDP3	9606.ENSP00000362768	9606.ENSP00000385461	0	0	0	0	0.089	0.413	0	0.263	0.572
ROBO3	RPS4Y1	9606.ENSP00000380903	9606.ENSP00000250784	0	0	0	0	0.047	0	0.500	0	0.503
RPA3	TOP3B	9606.ENSP00000223129	9606.ENSP00000381773	0	0	0	0	0	0	0.650	0.160	0.693
RPA3	RPA4	9606.ENSP00000223129	9606.ENSP00000362131	0	0	0	0	0.323	0.737	0.900	0.996	0.999
RPA4	TOP3B	9606.ENSP00000362131	9606.ENSP00000381773	0	0	0	0	0	0	0.650	0.304	0.746
RPS4Y1	VCY1B	9606.ENSP00000250784	9606.ENSP00000250823	0	0	0	0	0	0	0	0.540	0.540
RPS4Y1	VCY	9606.ENSP00000250784	9606.ENSP00000250825	0	0	0	0	0	0	0	0.540	0.540
RPS4Y1	RSRC1	9606.ENSP00000250784	9606.ENSP00000481697	0	0	0	0	0.606	0.548	0	0.166	0.838
RPS4Y1	USP9Y	9606.ENSP00000250784	9606.ENSP00000342812	0	0	0	0	0.793	0	0	0.801	0.957
RSRC1	TSSC4	9606.ENSP00000481697	9606.ENSP00000331087	0	0	0	0	0.056	0.612	0	0	0.618
SELE	TTR	9606.ENSP00000331736	9606.ENSP00000237014	0	0	0	0	0	0	0	0.483	0.483
SLFN12	ZNF471	9606.ENSP00000378063	9606.ENSP00000309161	0	0	0	0	0.043	0	0	0.457	0.458
SST	TTR	9606.ENSP00000287641	9606.ENSP00000237014	0	0	0	0	0.159	0	0	0.323	0.406
SST	TAC1	9606.ENSP00000287641	9606.ENSP00000321106	0	0	0	0	0.210	0	0	0.961	0.968
ST3GAL1	ST6GALNAC5	9606.ENSP00000428540	9606.ENSP00000417583	0	0	0.151	0.588	0	0	0.900	0.221	0.928
STMN2	SYT1	9606.ENSP00000429243	9606.ENSP00000261205	0	0	0	0	0.220	0	0	0.377	0.494
STMN2	TUBB3	9606.ENSP00000429243	9606.ENSP00000320295	0	0	0	0	0.077	0.128	0	0.403	0.477
STON1	SYT1	9606.ENSP00000384615	9606.ENSP00000261205	0	0	0	0	0	0	0.500	0.108	0.534
SYNGR3	SYT1	9606.ENSP00000248121	9606.ENSP00000261205	0	0	0	0	0.180	0	0	0.666	0.715
SYT1	VSNL1	9606.ENSP00000261205	9606.ENSP00000384719	0	0	0	0	0.235	0	0	0.295	0.438
TEAD3	WWTR1	9606.ENSP00000345772	9606.ENSP00000419465	0	0	0	0	0.083	0.880	0.900	0.583	0.994
USP9Y	VCY1B	9606.ENSP00000342812	9606.ENSP00000250823	0	0	0	0	0	0	0	0.581	0.581
USP9Y	VCY	9606.ENSP00000342812	9606.ENSP00000250825	0	0	0	0	0	0	0	0.581	0.581
